Marque_Modele,VERSION,ENERGIE,Boite_de_vitesse,PUISS_FISCALE,DATE,MALUS,PRIX_Neuf
Renault Twizy,Electrique 45 BVA Life (2p.),Électrique,Automatique,1CV,04/2013,n.a.,7540
Dacia Logan,1.0 12V Sce 75 Access (4p.),Essence,Manuelle,4CV,06/2019,100,8150
Renault Twizy,Electrique 80 BVA Life (2p.),Électrique,Automatique,2CV,04/2013,n.a.,8240
Dacia Sandero,1.0i SCe 75 Access (5p.),Essence,Manuelle,4CV,06/2019,100,8290
Renault Twizy,Electrique 45 BVA Intens Blanc (2p.),Électrique,Automatique,1CV,07/2015,n.a.,8340
Renault Twizy,Electrique 45 BVA Intens Noir (2p.),Électrique,Automatique,1CV,07/2015,n.a.,8340
DR DR Zero,1.0i 69 Chrome (5p.),Essence,Manuelle,5CV,03/2016,2205,8900
Renault Twizy,Electrique 80 BVA Intens Blanc (2p.),Électrique,Automatique,2CV,07/2015,n.a.,9040
Renault Twizy,Electrique 80 BVA Intens Noir (2p.),Électrique,Automatique,2CV,07/2015,n.a.,9040
Dacia Logan MCV,1.0i SCe 75 Access (Break),Essence,Manuelle,4CV,06/2019,100,9250
Dacia Logan,1.0 12V Sce 75 Essentiel (4p.),Essence,Manuelle,4CV,06/2019,100,9410
Dacia Sandero,1.0i SCe 75 Essentiel (5p.),Essence,Manuelle,4CV,06/2019,100,9590
Suzuki Celerio,1.0i VVT 68 Avantage (5p.),Essence,Manuelle,3CV,06/2018,0,9790
Dacia Sandero,SCe 75 City + (5p.),Essence,Manuelle,4CV,02/2020,100,9990
DR DR Zero,1.0i 69 GPL Chrome (5p.),GPL,Manuelle,4CV,03/2016,2205,9990
Fiat Panda,1.2 69 (5p.),Essence,Manuelle,4CV,10/2019,100,9990
Lada Granta,1.6i 8V 88 (4p.),Essence,Manuelle,6CV,01/2014,3784,9990
Renault Twizy,Electrique 45 BVA Life Achat Intégral (2p.),Électrique,Automatique,1CV,10/2018,n.a.,10000
Ford Ka +,1.2i 70 Essential (5p.),Essence,Manuelle,4CV,03/2018,210,10450
Mitsubishi Space Star,1.0i MIVEC 71 (5p.),Essence,Manuelle,4CV,01/2019,0,10490
Dacia Logan,1.0 12V Sce 75 Confort (4p.),Essence,Manuelle,4CV,06/2019,100,10510
Renault Twizy,Electrique 80 BVA Life Achat Intégral (2p.),Électrique,Automatique,2CV,10/2018,n.a.,10700
